internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Research,ACH Management Consultants,Work From Home,Immediately,6 Months,"₹ 6,000 /month",Consulting Services,"Business Analytics & Market Research, Management Consulting & Advisory","Market Research, Data Analysis, Report Writing, Information Gathering",Conducting comprehensive market and industry research to support management consulting projects at ACH Management Consultants. Analyzing data sets and preparing detailed reports and insights for clients.
Content Writing,Fabbon,Work From Home,Immediately,6 Months,₹350 /Article,Retail & Consumer Durables,"Content Strategy & Copywriting, Digital Marketing & SEO/SEM","Content Writing, Copywriting, SEO, Editing","Creating engaging articles, fashion copy, and web content for Fabbon to enhance audience engagement and brand presence. Researching industry trends and optimizing written pieces for search engines."
Business Development (Sales),Solevideos.ai,Work From Home,Immediately,6 Months,"₹ 10,000 /month +  Incentives",IT and Software Development,"B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Sales Development, Negotiation, Communication","Identifying and reaching out to potential clients for Solevideos.ai's video solutions, presenting product demos, and negotiating terms. Managing the sales pipeline and building strong relationships with new accounts."
Social Media Marketing,Montessori Community Initiative,Chennai,Immediately,6 Months,"₹ 4,000-5,000 /month","Media, Entertainment & Education","Digital Marketing & SEO/SEM, Social Media & Community Management","Social Media Marketing, Content Creation, Community Engagement, Campaign Planning","Developing and executing social media campaigns for Montessori Community Initiative to build community awareness and engagement. Creating posts, managing schedules, and interacting with followers across various platforms."
Search Engine Optimization (SEO),Nexten Brands Private Limited,Bangalore,Immediately,6 Months,"₹ 10,000-20,000 /month",IT and Software Development,"Digital Marketing & SEO/SEM, Business Analytics & Market Research","SEO, Keyword Research, Google Analytics, On-page Optimization","Implementing search engine optimization strategies for Nexten Brands Private Limited to improve website rankings and organic traffic. Conducting keyword research, auditing site structure, and monitoring SEO performance metrics."
Backend Development,LineupX,Mumbai,Immediately,6 Months,"₹ 15,000 /month",IT and Software Development,"Full Stack Web Development, Software Engineering","Node.js, Databases, API Integration, Python","Designing, building, and maintaining backend server logic and databases for LineupX. Ensuring high performance, scalability, and secure integration with front-end components."
Video Content Creator (Spoken English) And English Language Instructor,AceFluency,Dehradun,Immediately,6 Months,"₹ 20,000 /month","Media, Entertainment & Education","Video Production & Motion Graphics, Content Strategy & Copywriting","Video Editing, Spoken English, Teaching, Content Creation","Creating instructional video content for AceFluency focused on spoken English and language proficiency. Conducting lessons, recording instructional videos, and editing media to deliver engaging educational experiences."
Digital Marketing,Marketing Mojito,Mumbai,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,"Digital Marketing & SEO/SEM, Social Media & Community Management","Digital Marketing, PPC, Social Media Advertising, Campaign Analytics","Managing comprehensive digital marketing campaigns for clients of Marketing Mojito across various online channels. Tracking campaign performance, optimizing ad spend, and driving brand awareness and leads."
Recruitment,Hire Rightt Executive Search LLP Dubai,Pune,Immediately,6 Months,"₹ 10,000-20,000 /month",Consulting Services,"Talent Acquisition & Technical Recruitment, Human Resources (HR) & People Operations","Sourcing, Candidate Screening, ATS, Interview Coordination","Sourcing and screening top talent for executive roles at Hire Rightt Executive Search LLP Dubai. Managing candidate pipelines, scheduling interviews, and coordinating with hiring managers."
Sales,Aarohiinfo FI Management Limited,Pune,Immediately,6 Months,"₹ 5,000-8,000 /month",Banking and Financial Services,"B2B Sales & Key Account Management, Commercial & Retail Banking Operations","Sales, Client Acquisition, Financial Products, Negotiation","Promoting and selling financial management products and services for Aarohiinfo FI Management Limited. Engaging with prospective clients, understanding their needs, and converting leads into active accounts."
Graphic Design,Pawzz,Work From Home,Immediately,6 Months,"₹ 10,000-12,000 /month",Retail & Consumer Durables,"Graphic Design & Visual Communication, UI/UX & Product Design","Adobe Photoshop, Illustrator, Graphic Design, Visual Branding","Designing visually appealing graphics, marketing collaterals, and digital assets for Pawzz. Translating brand identity concepts into creative visual layouts for online and offline media."
Business Development (Sales),QuadB Tech,Work From Home,Immediately,6 Months,"₹ 10,000-12,000 /month",IT and Software Development,"B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Business Development, Communication, Pitching",Driving sales development initiatives for QuadB Tech by identifying business opportunities and reaching out to potential software clients. Pitching tech solutions and building long-term client relationships.
Shopify Website Management & Social Media,Doodle Over Poodle Pvt. Ltd.,Delhi,Immediately,6 Months,"₹ 8,000-10,000 /month",Retail & Consumer Durables,"E-Commerce Operations & Catalog Management, Social Media & Community Management","Shopify, E-commerce Management, Social Media Marketing, Content Scheduling","Maintaining and updating the Shopify storefront for Doodle Over Poodle Pvt. Ltd., including product merchandising and order oversight. Managing social media accounts to drive traffic and build community engagement."
Content Writing/Product Management,AdCortex,Work From Home,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,"Product Management, Content Strategy & Copywriting","Product Management, Content Writing, Market Research, Documentation","Assisting the product and content teams at AdCortex with drafting product documentation, writing technical/marketing content, and researching user requirements. Bridging product features with clear messaging and strategy."
E-Commerce Catalog Management,Riansh Corporate,Work From Home,Immediately,6 Months,"₹ 6,000-12,000 /month",Retail & Consumer Durables,"E-Commerce Operations & Catalog Management, Merchandising & Category Management","Catalog Management, Data Entry, Excel, Product Listing","Managing digital product catalogs, uploading item listings, and ensuring accurate product descriptions for Riansh Corporate's e-commerce channels. Maintaining inventory data consistency and high data quality standards."
Social Media Marketing,Cremeborne Foodworks Private Limited,Delhi,Immediately,6 Months,"₹ 5,000 /month +  Incentives",FMCG (Fast-Moving Consumer Goods),"Digital Marketing & SEO/SEM, Social Media & Community Management","Social Media Marketing, Content Creation, Analytics, Copywriting","Manage the social media channels for Cremeborne Foodworks Private Limited to increase brand engagement. Create and schedule daily posts, monitor trends, and interact with the online community to drive user acquisition."
Content Writing,Learnart Technologies Private Limited,Work From Home,Immediately,6 Months,"₹ 2,500 /month",IT and Software Development,Content Strategy & Copywriting,"Content Writing, SEO, Editing, Research",Produce engaging and informative articles and website copy for Learnart Technologies Private Limited. Research industry topics to optimize content for search engines and target audiences.
Social Media Management,Pawzz,Work From Home,Immediately,6 Months,"₹ 8,000-12,000 /month","Media, Entertainment & Education",Social Media & Community Management,"Social Media Management, Community Building, Content Strategy, Analytics","Handle day-to-day social media management operations for Pawzz. Curate content calendars, engage with followers, and track campaign performance to enhance brand visibility."
